Author,Comment,Comment_casefolded
@WildaAmay,Bahagia mendengar cerita nya.......❤❤❤❤❤,bahagia mendengar cerita nya.......❤❤❤❤❤
@cesaretox3891,gue nnton di tahun 2025😌,gue nnton di tahun 2025😌
@AnggiPutri-b3m,Serem juga y,serem juga y
@BintanFitri,Dah lah dr tadi ngebyanginn banget😅seruu poll ceritanyyaa,dah lah dr tadi ngebyanginn banget😅seruu poll ceritanyyaa
@JambutBarong,Dari antara semua video ini sih cerita yg epik bener ... Terus sekarang anaknya kembar itu sampai sekarang masih ada kah wa ...,dari antara semua video ini sih cerita yg epik bener ... terus sekarang anaknya kembar itu sampai sekarang masih ada kah wa ...
@nengdinaa8780,Trs gmna lanjutannya ka nad,trs gmna lanjutannya ka nad
@bilaptry-u1k,"kepikiran, apa si tiara ini kaya reinkarnasi seseorang gtu yah? soalnya dimimpi pertama kali aja si raja itu bilang “apa kabar kekasih ku, sudah lama kita tidak bertemu” hmmm🤔","kepikiran, apa si tiara ini kaya reinkarnasi seseorang gtu yah? soalnya dimimpi pertama kali aja si raja itu bilang “apa kabar kekasih ku, sudah lama kita tidak bertemu” hmmm🤔"
@PutriZahra-t9y,ini gaada yg inisiatif buat film aja kah😭 udh 3 kali nonton ga bosen bosen,ini gaada yg inisiatif buat film aja kah😭 udh 3 kali nonton ga bosen bosen
@farahghassani-x6j,sekarang anak kembar ny hidup didunia smpe sekarang?,sekarang anak kembar ny hidup didunia smpe sekarang?
@shi.ne90,Lol Macem crita Webtoon aja.. 😅,lol macem crita webtoon aja.. 😅
@TentyErnawati-e1o,ini bneran ga sii,ini bneran ga sii
@AQifah25,Penonton terakhir,penonton terakhir
@MelinaAndreas,aku ga sadar ulang2 in khw ini krn aku baper 😮,aku ga sadar ulang2 in khw ini krn aku baper 😮
@zillypatriciaofficial3610,2025 coba absen lgi guys kisah yang super epick ini,2025 coba absen lgi guys kisah yang super epick ini
@tricksky6897,"ni mah kaya twilight,, Bella Swan pacaran dan nikah sama Edward dari kaum Jin","ni mah kaya twilight,, bella swan pacaran dan nikah sama edward dari kaum jin"
@SulhiAna123,"Sama aku juga pernah mimpi laki2 muda bersama anak kecil, pakaian nya itu sopan pake peci, berturut turut hadir dimimpiku, namun laki2 ini hanya menatap ku saja, dan anehnya, saat aku mau ngajar ngaji anakku, seketika aku melihat nyata anak kecil yg dlm mimpiku ini masuk ke kamarku, aku tanya sm anakku, tadi didalam km sm siapa apa ada temenmu yg masuk, anakku bilang gk ada bu,, aku sendirian disini, dan anehnya anak kecil itu seumuran kayak anakku, dan pakaiannya itu sm kayak yg dimimpiku","sama aku juga pernah mimpi laki2 muda bersama anak kecil, pakaian nya itu sopan pake peci, berturut turut hadir dimimpiku, namun laki2 ini hanya menatap ku saja, dan anehnya, saat aku mau ngajar ngaji anakku, seketika aku melihat nyata anak kecil yg dlm mimpiku ini masuk ke kamarku, aku tanya sm anakku, tadi didalam km sm siapa apa ada temenmu yg masuk, anakku bilang gk ada bu,, aku sendirian disini, dan anehnya anak kecil itu seumuran kayak anakku, dan pakaiannya itu sm kayak yg dimimpiku"
@nurhalisaamalia5572,"ga ngerti deh dia merasa ter-terror sama mimpinya selama 14 tahun nyampe takut untuk tidur, dia juga ke guguran 3x setelah mimpi yang sama bahkan suaminya bermimpi yang cowo yang sama, bisa-bisa dia ga cerita atau ngegali lagi ke suaminya atau ke orang sekitarnya, malah merasa merasa 'yaudah lupain aja, jangan dibahas lagi' kok bisa yaallah😭😭😭
Mana bisa-bisanya berharap untuk ketemu cowo itu lagi, dan gangerasa benci sama tuh cowo, yaallah tir malah dibela dan lu blng lu nganggep kalian pacaran. Gila si, gaabis pikir bisa berpikir kayak gitu. Ga menyakiti bukan berarti harus disakitin fisik. Tiara plis cowo di mimpi lu tuh neror lu, ngambil anak lu tanpa concern lu. Lu stress karena keguguran dan pencetus bertengkar sama suami lu😭😭
Kayak film horor, kayak orang bodoh udah teror tapi ttp tinggal disana, maaf ya tiara tapi kamu bikin greget🤦‍♀🤦‍♀😑

*revisi suaminya juga bodoh trnyata, si cewe emang rada-rada krna ga langsung cerita sama sekitarnya, tapi suaminya lbh bodoh ga denger malah ngajar ribut pdhl si cewe udh berusaha cerita. Mimpinya lohh berulang bertahun-tahun, bodoh.
*revisi, emang tiara ini rada-rada🤦‍♀
*revisi tiara emang bodoh, kesel deh luuu tuhh selingkuh bjir jatohnya sama setan, setan skli lgi. Gilaaa.

Bingung deh harus like atau dislike, gausah ceritanya tapi nadia cerita keren bgt, sgt profesional dan non jugde.. keren kamu nattt😊😊💌💌","ga ngerti deh dia merasa ter-terror sama mimpinya selama 14 tahun nyampe takut untuk tidur, dia juga ke guguran 3x setelah mimpi yang sama bahkan suaminya bermimpi yang cowo yang sama, bisa-bisa dia ga cerita atau ngegali lagi ke suaminya atau ke orang sekitarnya, malah merasa merasa 'yaudah lupain aja, jangan dibahas lagi' kok bisa yaallah😭😭😭
mana bisa-bisanya berharap untuk ketemu cowo itu lagi, dan gangerasa benci sama tuh cowo, yaallah tir malah dibela dan lu blng lu nganggep kalian pacaran. gila si, gaabis pikir bisa berpikir kayak gitu. ga menyakiti bukan berarti harus disakitin fisik. tiara plis cowo di mimpi lu tuh neror lu, ngambil anak lu tanpa concern lu. lu stress karena keguguran dan pencetus bertengkar sama suami lu😭😭
kayak film horor, kayak orang bodoh udah teror tapi ttp tinggal disana, maaf ya tiara tapi kamu bikin greget🤦‍♀🤦‍♀😑

*revisi suaminya juga bodoh trnyata, si cewe emang rada-rada krna ga langsung cerita sama sekitarnya, tapi suaminya lbh bodoh ga denger malah ngajar ribut pdhl si cewe udh berusaha cerita. mimpinya lohh berulang bertahun-tahun, bodoh.
*revisi, emang tiara ini rada-rada🤦‍♀
*revisi tiara emang bodoh, kesel deh luuu tuhh selingkuh bjir jatohnya sama setan, setan skli lgi. gilaaa.

bingung deh harus like atau dislike, gausah ceritanya tapi nadia cerita keren bgt, sgt profesional dan non jugde.. keren kamu nattt😊😊💌💌"
@Boy123-lx5fc,hy gyss aku dri Malaysia salam kenal yh 🥰,hy gyss aku dri malaysia salam kenal yh 🥰
@Elvanwwnk,"Suami Tiara berarti juga udah tau kalau anak mereka itu anak kandung nya yg didalam mimpi,, secara suami Tiara juga pernah bermimpi tentang lelaki mimpi tersebut","suami tiara berarti juga udah tau kalau anak mereka itu anak kandung nya yg didalam mimpi,, secara suami tiara juga pernah bermimpi tentang lelaki mimpi tersebut"
@arihasan5295,Aku percaya cerita Tiara ini... Entahlah kasihan dia...,aku percaya cerita tiara ini... entahlah kasihan dia...
@Fullsmile2016,Kynya bukan kisah nyata krn klo kisah nyata suami istri ada hal aneh pst min konsultasi sm kyai ato ahli spiritual lain sebagai usaha untuk menhawab peetanyaan tentang mimi yg aneh mana barengan lg mimpinya.  Klo normalnya pst konsul ga mungkin diem2 aja,kynya bukan kisah nyata krn klo kisah nyata suami istri ada hal aneh pst min konsultasi sm kyai ato ahli spiritual lain sebagai usaha untuk menhawab peetanyaan tentang mimi yg aneh mana barengan lg mimpinya.  klo normalnya pst konsul ga mungkin diem2 aja
@Background_musicSnS,Penasaran sm si tiara😂,penasaran sm si tiara😂
@SantyAstuti,Pria ini namanya walid,pria ini namanya walid
@desisusanti2247,Jadi teringat cerita Anggi di Kalapuna nya om Mongol. Tapi di Anggi selalu menolak si cowok itu.,jadi teringat cerita anggi di kalapuna nya om mongol. tapi di anggi selalu menolak si cowok itu.
@Sugengriyann,"kira kira suami nya kalo liat ini gimna yaaa perasaan nyaa, apa udah tau?","kira kira suami nya kalo liat ini gimna yaaa perasaan nyaa, apa udah tau?"
@zakymuhammadalimin7080,"aku speechless. karena cerita ini hampir bisa dibilang lumayan mirip dengan cerita temenku (namun bukan sampai pernikahan/berhubungan badan ini) yang disuruh teman ghaibnya untuk mencari batu (seperti kristal) yang untungnya temanku di lepaskan hingga dirinya nggak ingat tentang teman ghabi ini, but aku yang menemaninya tetep inget hiks","aku speechless. karena cerita ini hampir bisa dibilang lumayan mirip dengan cerita temenku (namun bukan sampai pernikahan/berhubungan badan ini) yang disuruh teman ghaibnya untuk mencari batu (seperti kristal) yang untungnya temanku di lepaskan hingga dirinya nggak ingat tentang teman ghabi ini, but aku yang menemaninya tetep inget hiks"
@sitiaprilia6017,mau liat Poto anaknyaaa,mau liat poto anaknyaaa
@linyuspradipta711,"Mimpi berulang2 tuh emang benar adanya, karna aku juga pernah mimpi yang sama berulang2 kali.","mimpi berulang2 tuh emang benar adanya, karna aku juga pernah mimpi yang sama berulang2 kali."
@babydillaaaaa,pernah baca sama cerita yg katanya klo kita mimpi sama laki laki entah siapa sampe berhubungan badan melainkan itu jin. serem banget coiii 😭😭😭 usahain klo mau tidur wudhu dulu dan baca doa ya wawakkkk❤❤,pernah baca sama cerita yg katanya klo kita mimpi sama laki laki entah siapa sampe berhubungan badan melainkan itu jin. serem banget coiii 😭😭😭 usahain klo mau tidur wudhu dulu dan baca doa ya wawakkkk❤❤
@nbil66,di detik 3.19 tu suara apa?,di detik 3.19 tu suara apa?
@UpikSemproll,Team yg nonton di th 2025😊,team yg nonton di th 2025😊
@dirwachannel5556,Kenapa gak minta doa ke kyai sih,kenapa gak minta doa ke kyai sih
@ermita-121,Jadi keinget lukan kak😅,jadi keinget lukan kak😅
@beltasari3780,Terkadang yang beda alam dan beda dimensi lebih setia,terkadang yang beda alam dan beda dimensi lebih setia
@RihaldiDermawan,Omong kosong,omong kosong
@trikhadewi5442,Merinding euy...,merinding euy...
@ntiILaaa,Yang nonton 2025 apakabar sekarang kak tiara kelanjutan ceritanya gimana udah ada solusinya belum aku kasian sama kamu dan suamimu,yang nonton 2025 apakabar sekarang kak tiara kelanjutan ceritanya gimana udah ada solusinya belum aku kasian sama kamu dan suamimu
@aulianurrahman5895,"Guys mungkin perawakan nya ganteng, tinggi, besar, tpi inget itu JIN, yg mengelabui manusia, jdi jgn halusinasi kepengen jga didatengin itu :') walaupun bentukan nya kya pangeran watpad","guys mungkin perawakan nya ganteng, tinggi, besar, tpi inget itu jin, yg mengelabui manusia, jdi jgn halusinasi kepengen jga didatengin itu :') walaupun bentukan nya kya pangeran watpad"
@SitiHaula-o6o,Pingin berbagi kisahku sembunyikan gondoruwo n Akhirx mnjadi penjaga diriku. Gmn Carax kak,pingin berbagi kisahku sembunyikan gondoruwo n akhirx mnjadi penjaga diriku. gmn carax kak
@zoraofficial4455,Apa suami tiara gk bertanya2 ya tntang wajah ank nya yg gk ada mirip2 nya sm dia😂,apa suami tiara gk bertanya2 ya tntang wajah ank nya yg gk ada mirip2 nya sm dia😂
@Putriwibu..14,Plss anaknya pasti ganteng,plss anaknya pasti ganteng
@aurasamaya,terus...perasaan suaminya kalo tau ini gimana...😢😢,terus...perasaan suaminya kalo tau ini gimana...😢😢
@EKASAFITRI-c3v,Di film kan keren sih,di film kan keren sih
@EkaYulia-d6m,"Berati si Tiara ini dlm hatinya gk menolak juga kehadiran cwo itu MUNGKIN mknnya gk berpikir dirukiah,krna dia aja smpe mau berhubungan bgtu sama cwo ghoib itu brti kan jauh ddlm hatinya dia jg suka sama cwo ghoib itu","berati si tiara ini dlm hatinya gk menolak juga kehadiran cwo itu mungkin mknnya gk berpikir dirukiah,krna dia aja smpe mau berhubungan bgtu sama cwo ghoib itu brti kan jauh ddlm hatinya dia jg suka sama cwo ghoib itu"
@yunasrinas2077,ihh suka looo😋😋😋😋,ihh suka looo😋😋😋😋
@putrimei6685,"Kasian bgt ya,harus berani ambil resiko kyk mbak yg pengantin setan itu,dia memilih suami di dunia nyata dn berakhir bahagia","kasian bgt ya,harus berani ambil resiko kyk mbak yg pengantin setan itu,dia memilih suami di dunia nyata dn berakhir bahagia"
@ALDYBASUDARA,Video pertamaa nadia omara yang guaa tonton😂,video pertamaa nadia omara yang guaa tonton😂
@pujinyngsih7013,"Nggantung critanya..

Tp parahh si, pdahal rajin ibadah gt tp g ad terbesit utk ruqyah atau sadar ini tu gangguan jin…!

Anak diambil jin pun memaafkan gt aj, kesian x suamimu.. dan msh brlanjut smpe skrg parah si parahh mending pisah sm suami nyata kasian zhalimm sih","nggantung critanya..

tp parahh si, pdahal rajin ibadah gt tp g ad terbesit utk ruqyah atau sadar ini tu gangguan jin…!

anak diambil jin pun memaafkan gt aj, kesian x suamimu.. dan msh brlanjut smpe skrg parah si parahh mending pisah sm suami nyata kasian zhalimm sih"
@anrhm8377,Duh penasaran keadaan tiara yg sekarang gimanaaaa,duh penasaran keadaan tiara yg sekarang gimanaaaa
@ElevateBeyond-e9q,gmn dia sekarang yoo,gmn dia sekarang yoo
@yasikaayudaningpuspita7663,"na’udzubilahimindzalik, ruqyah tiaraaaaa ruqyahhh","na’udzubilahimindzalik, ruqyah tiaraaaaa ruqyahhh"
@AttiyaturRobbiTiya,"Aku juga pernah mimpiin mantan dari tahun 2021-2025 masih terusan mimpiin dia,ntah mau gimana lagi cara nya hilangin wajah dia dari pikiran/ga datang lagi mimpi","aku juga pernah mimpiin mantan dari tahun 2021-2025 masih terusan mimpiin dia,ntah mau gimana lagi cara nya hilangin wajah dia dari pikiran/ga datang lagi mimpi"
@eensitidaenah,"rate 10000 nol nya tambahin setriliun lagii,bagus bngt jirr inii","rate 10000 nol nya tambahin setriliun lagii,bagus bngt jirr inii"
@keluargakecil2025,"Dlu sblm nikah aku iy sering bngt ky pacaran sma cwok ganteng pke baju pengantin cwok solo gitu gantengnya lbih dri Lee Min Hoo, trus pas bpku dh ninggal, aku nikah sma cwok itu trus bpkku maki² bilng""aku gk ngerestui kmu, jngn bawa anakku""trus cwoknya jwb ""dia milikku, seutuhnya"" Suaranya berwibawa bngt pokoknya sblm nikah rasanya bnyk bngt mslh nah di 1 bln sblm pernikahan aku diajak ke rumah cwok itu eh ibunya cuantikkkkk bngt, tp dimimpi aku diikutin sma suamiku dlu blm jdi suami, tmnku, sma ponakan mereka bilng""lari cpt larii""trus aku nengok ke suami, nengok lg ke cwok ganteng dan rumah ny, beserta ibunya, berubah jdi jurang cwok ganteng berubah jdi gederuwo, ibunya berubah jdi mbk kunti sumpah jdi takut tidur😢😢😢mau ruqiah takut sblmnya cwok itu sering bngt dimimpi jdi ganteng ngjk jln² ngjk main asik bngt romantis eh ternyata wohhh ngeri tp sblm nikah aku termasuk yng fisik kuat jrng sakit pas udh penentuan tanggal tiba-tiba bngt msuk UGD 2x dngn penykit aneh setiap azan magrib smpe subuh demam tinggl trus sering ketindihan, ditampkin mcm² pokoknya kek gila bngt kepisikolog dibilang depresi, trus rumahku dibersihkan sma ibukku ada saudara yng bisa nyingkirin sesuatu gitu, pdhl posisi aku merantau tp aku diimpiin dirumah aku dikejar sma harimau gedueeee bngtttttttt eh berubah jdi bpk2 pke blangkon trus bilang ""jngn takut ndok"" Trus senyum lngsung kebangun dan gk pernah mimpi aneh lg","dlu sblm nikah aku iy sering bngt ky pacaran sma cwok ganteng pke baju pengantin cwok solo gitu gantengnya lbih dri lee min hoo, trus pas bpku dh ninggal, aku nikah sma cwok itu trus bpkku maki² bilng""aku gk ngerestui kmu, jngn bawa anakku""trus cwoknya jwb ""dia milikku, seutuhnya"" suaranya berwibawa bngt pokoknya sblm nikah rasanya bnyk bngt mslh nah di 1 bln sblm pernikahan aku diajak ke rumah cwok itu eh ibunya cuantikkkkk bngt, tp dimimpi aku diikutin sma suamiku dlu blm jdi suami, tmnku, sma ponakan mereka bilng""lari cpt larii""trus aku nengok ke suami, nengok lg ke cwok ganteng dan rumah ny, beserta ibunya, berubah jdi jurang cwok ganteng berubah jdi gederuwo, ibunya berubah jdi mbk kunti sumpah jdi takut tidur😢😢😢mau ruqiah takut sblmnya cwok itu sering bngt dimimpi jdi ganteng ngjk jln² ngjk main asik bngt romantis eh ternyata wohhh ngeri tp sblm nikah aku termasuk yng fisik kuat jrng sakit pas udh penentuan tanggal tiba-tiba bngt msuk ugd 2x dngn penykit aneh setiap azan magrib smpe subuh demam tinggl trus sering ketindihan, ditampkin mcm² pokoknya kek gila bngt kepisikolog dibilang depresi, trus rumahku dibersihkan sma ibukku ada saudara yng bisa nyingkirin sesuatu gitu, pdhl posisi aku merantau tp aku diimpiin dirumah aku dikejar sma harimau gedueeee bngtttttttt eh berubah jdi bpk2 pke blangkon trus bilang ""jngn takut ndok"" trus senyum lngsung kebangun dan gk pernah mimpi aneh lg"
@OaPatty-go4jx,"aku mau cerita guys... pernah aku terbangun tengah malam, pertama aku terbangun sekitar jam 2an dalam keadaan baju dan Bra ku terbuka, setelah itu lewat seminggu aku terbangun lagi di jam 3an sorry yah, tapi aku terbangun dalam keadaan telanjang tapi cuma bagian pinggang kebawah aja sedangkan baju ku tertutup rapih😢 aku blm pernah cerita ke siapapun ges.. itu artinya apa yah?","aku mau cerita guys... pernah aku terbangun tengah malam, pertama aku terbangun sekitar jam 2an dalam keadaan baju dan bra ku terbuka, setelah itu lewat seminggu aku terbangun lagi di jam 3an sorry yah, tapi aku terbangun dalam keadaan telanjang tapi cuma bagian pinggang kebawah aja sedangkan baju ku tertutup rapih😢 aku blm pernah cerita ke siapapun ges.. itu artinya apa yah?"
@lynli18,Cukup ekstrim sih ceritanya😢,cukup ekstrim sih ceritanya😢
@muhammadyafiq9773,Kenapa kayak terbawa ke dunia fantasi,kenapa kayak terbawa ke dunia fantasi
@dinibellapertiwi3901,"Sungguh bergetar ya, mimpi rasa nyata........","sungguh bergetar ya, mimpi rasa nyata........"
@JihanFahira-j9p,kalau suami nya nonton ini ntar ketahuan dong isi mimpi nya🤔,kalau suami nya nonton ini ntar ketahuan dong isi mimpi nya🤔
@EndangAtmaja-s5f,Kenapa si cowok kerajaan inii mencintai tiara yah?,kenapa si cowok kerajaan inii mencintai tiara yah?
@dewitejo7678,Baru nonton 2025.dtunggu part 2 kak,baru nonton 2025.dtunggu part 2 kak
@lisnasagita,"Suka banget sama cara penyampaiannya ikut kebawa, tapi dari cerita ini aku masihh bingung kok hamilnya udahh 3 bulan aja yaa padahal pas berhubungan badan di air terjun itu baru 8 hari","suka banget sama cara penyampaiannya ikut kebawa, tapi dari cerita ini aku masihh bingung kok hamilnya udahh 3 bulan aja yaa padahal pas berhubungan badan di air terjun itu baru 8 hari"
